"","Id","Prix","Poids","Couleur","Intensité","Régularité"
"5574",5574,28.66,0.32,"Bleu",5,3
"5710",5710,40.91,0.72,"Rouge",5,1
"5793",5793,32.73,0.41,"Bleu",3,1
"5806",5806,60.18,1.33,"Rouge",4,1
"5827",5827,68.84,1.58,"Rouge",4,1
"5845",5845,129.13,2.41,"Rouge",5,2
"5919",5919,50.03,0.72,"Bleu",5,2
"6039",6039,46.99,0.9,"Rouge",4,1
"6128",6128,21.41,0.5,"Bleu",1,2
"6238",6238,55.46,1.01,"Rouge",2,1
"6254",6254,75.82,1.29,"Rouge",5,1
"6270",6270,38.99,0.72,"Bleu",3,1
"6279",6279,29.19,0.51,"Bleu",5,1
"6322",6322,33.44,0.43,"Rouge",2,1
"6362",6362,32.01,0.32,"Bleu",5,2
"6580",6580,50.68,0.9,"Rouge",2,1
"6659",6659,34.88,0.31,"Bleu",5,3
"6673",6673,60.52,0.79,"Jaune",5,2
"6780",6780,55.26,1.3,"Bleu",3,1
"6824",6824,73.89,1.28,"Rouge",5,3
"6953",6953,52.64,0.72,"Jaune",5,3
"6971",6971,31.72,0.31,"Jaune",5,3
"7155",7155,35.22,0.41,"Rouge",5,2
"7225",7225,43.73,0.48,"Jaune",2,1
"7304",7304,28.91,0.3,"Jaune",3,2
"7339",7339,45.31,1.02,"Rouge",3,3
"7615",7615,59.63,1.23,"Jaune",4,3
"7659",7659,29.42,0.31,"Jaune",5,1
"7960",7960,54.92,0.72,"Bleu",5,3
"8030",8030,25.16,0.3,"Jaune",5,2
"8052",8052,20.2,0.5,"Jaune",2,2
"8084",8084,73.69,1.65,"Bleu",4,2
"8133",8133,23.77,0.32,"Jaune",3,2
"8152",8152,33.26,0.39,"Rouge",5,1
"8364",8364,33.5,0.39,"Rouge",5,2
"8561",8561,75.01,1.02,"Jaune",5,2
"8614",8614,111.44,1.71,"Rouge",5,1
"8630",8630,110.05,1.61,"Jaune",5,2
"8634",8634,37.32,0.33,"Rouge",5,3
"8688",8688,48.54,1.11,"Rouge",5,3
"8693",8693,52.61,0.9,"Bleu",4,1
"9202",9202,41.72,0.52,"Rouge",5,1
"9294",9294,63.5,1.01,"Bleu",3,1
"9380",9380,61.49,1.5,"Bleu",3,1
"9431",9431,44.12,1.01,"Rouge",1,1
"9454",9454,44.74,0.86,"Jaune",4,1
"9458",9458,62.09,1.01,"Bleu",5,2
"9461",9461,94.22,1.51,"Jaune",5,1
"9512",9512,60.92,1.21,"Rouge",3,3
"9681",9681,55.56,1.1,"Jaune",4,2
"9736",9736,43.1,0.71,"Bleu",3,2
"9744",9744,30.2,0.32,"Rouge",5,2
"9960",9960,79.98,1.21,"Rouge",5,1
"9972",9972,69.47,1.5,"Rouge",3,1
"10095",10095,31.86,0.4,"Bleu",3,3
"10146",10146,45.49,0.52,"Rouge",5,1
"10200",10200,52.62,0.91,"Rouge",4,2
"10302",10302,46.9,0.8,"Rouge",4,1
"10309",10309,42.6,0.3,"Jaune",5,2
"10394",10394,43.55,0.54,"Rouge",5,3
"10415",10415,50.1,0.53,"Bleu",5,1
"10427",10427,35.62,0.33,"Bleu",5,1
"10438",10438,45.52,0.71,"Jaune",4,1
"10534",10534,43.08,0.9,"Bleu",4,1
"10541",10541,70.14,1.43,"Bleu",4,1
"10566",10566,51.4,1,"Bleu",4,1
"10673",10673,22.64,0.32,"Bleu",3,1
"10710",10710,55.3,1.05,"Rouge",3,2
"10724",10724,52.7,0.75,"Rouge",5,3
"10739",10739,56.34,1.21,"Jaune",3,3
"10760",10760,101.39,1.7,"Bleu",5,3
"10816",10816,38.19,0.33,"Jaune",4,2
"10832",10832,36.47,0.77,"Jaune",4,2
"10843",10843,12.8,0.4,"Bleu",3,1
"10858",10858,34.6,0.41,"Rouge",4,1
"10887",10887,83.97,1.11,"Rouge",5,3
"10938",10938,13.33,0.25,"Rouge",5,3
"10962",10962,57,0.59,"Rouge",5,3
"11005",11005,53.29,1.03,"Rouge",4,2
"11049",11049,46.27,0.7,"Jaune",3,2
"11105",11105,82.09,2.1,"Rouge",3,1
"11149",11149,56.96,0.95,"Jaune",5,2
"11187",11187,33.07,0.32,"Rouge",3,2
"11207",11207,48.66,1.03,"Rouge",2,1
"11268",11268,38.93,0.71,"Rouge",4,3
"11280",11280,19.18,0.35,"Jaune",4,1
"11338",11338,44.42,0.42,"Jaune",3,3
"11349",11349,54.03,0.71,"Rouge",5,2
"11702",11702,57.72,1.01,"Jaune",4,1
"11706",11706,91.67,2.11,"Rouge",4,3
"11747",11747,22.59,0.3,"Bleu",3,2
"11778",11778,17.53,0.23,"Jaune",3,2
"11898",11898,17.82,0.27,"Rouge",5,2
"12023",12023,29.88,0.5,"Bleu",5,2
"12185",12185,42.21,0.73,"Bleu",5,1
"12201",12201,23.72,0.26,"Rouge",3,1
"12237",12237,23.35,0.27,"Jaune",3,2
"12253",12253,54.57,0.9,"Rouge",3,2
"12376",12376,61.59,1.01,"Jaune",3,3
"12391",12391,65.87,1,"Bleu",5,2
"12434",12434,35.61,0.4,"Rouge",4,1
"12461",12461,53.59,0.75,"Jaune",5,2
"12592",12592,27.44,0.3,"Bleu",4,3
"12698",12698,36.52,0.3,"Jaune",3,1
"12829",12829,52.9,1.01,"Jaune",4,2
"12934",12934,32.36,0.4,"Rouge",5,1
"12987",12987,47.64,0.59,"Bleu",5,1
"12999",12999,86.83,1.26,"Jaune",5,1
"13037",13037,25.95,0.31,"Rouge",5,2
"13103",13103,42.24,0.7,"Bleu",5,1
"13233",13233,44.2,0.42,"Rouge",5,2
"13255",13255,43.84,0.3,"Jaune",3,1
"13446",13446,50.79,0.72,"Rouge",3,1
"13469",13469,74.87,1.53,"Bleu",4,1
"13568",13568,21.12,0.24,"Jaune",2,3
"13660",13660,59.38,1.04,"Jaune",4,2
"13852",13852,88.35,1.51,"Bleu",5,3
"14043",14043,30.81,0.3,"Bleu",4,3
"14045",14045,20.96,0.23,"Rouge",5,1
"14047",14047,51.83,1.01,"Rouge",4,3
"14143",14143,59.08,1.37,"Bleu",4,2
"14151",14151,24.32,0.31,"Rouge",5,1
"14203",14203,24.61,0.3,"Bleu",4,1
"14210",14210,50.17,0.7,"Bleu",4,2
"14221",14221,96.22,2.18,"Bleu",4,1
"14232",14232,52.51,1.37,"Rouge",3,3
"14234",14234,45.49,1.04,"Rouge",4,1
"14291",14291,62.02,1.5,"Jaune",3,1
"14315",14315,61.48,0.9,"Rouge",5,2
"14337",14337,32.46,0.35,"Rouge",5,1
"14426",14426,48.34,1.5,"Rouge",1,1
"14519",14519,33.05,0.34,"Rouge",5,2
"14700",14700,43.27,0.58,"Jaune",5,2
"14820",14820,24.74,0.71,"Jaune",4,3
"14850",14850,31.51,0.41,"Bleu",5,1
"14897",14897,50.54,0.92,"Bleu",5,1
"14936",14936,39.53,0.58,"Bleu",5,1
"14937",14937,47.71,0.96,"Jaune",3,3
"15020",15020,53.1,1.02,"Bleu",3,3
"15101",15101,45.95,0.81,"Bleu",4,1
"15215",15215,30.46,0.5,"Bleu",5,2
"15261",15261,24.26,0.33,"Rouge",4,1
"15313",15313,28.91,0.33,"Jaune",3,3
"15394",15394,26.33,0.31,"Rouge",2,2
"15413",15413,43.16,0.72,"Jaune",4,2
"15502",15502,28.88,0.34,"Bleu",5,1
"15629",15629,33.31,0.31,"Rouge",4,2
"15635",15635,52.1,1,"Rouge",4,1
"15833",15833,24.05,0.5,"Rouge",3,1
"15926",15926,32.98,0.54,"Rouge",5,1
"16256",16256,45.99,1.01,"Rouge",4,2
"16619",16619,45.77,1.2,"Rouge",2,3
"16664",16664,34.15,0.71,"Jaune",2,1
"16677",16677,22.97,0.3,"Bleu",2,3
"16723",16723,45.65,1,"Jaune",2,2
"16794",16794,43.07,0.51,"Rouge",5,1
"16833",16833,34.65,0.24,"Rouge",5,1
"16995",16995,43.04,0.7,"Rouge",4,1
"17004",17004,58.9,1.2,"Bleu",5,3
"17088",17088,87.77,1.61,"Rouge",5,2
"17207",17207,46.41,0.71,"Rouge",5,1
"17235",17235,32.3,0.36,"Rouge",2,2
"17380",17380,25.99,0.4,"Rouge",5,1
"17409",17409,89.87,2.01,"Bleu",3,2
"17534",17534,82.06,1.17,"Bleu",5,3
"17690",17690,86.59,1.35,"Bleu",5,1
"17722",17722,47.18,0.31,"Jaune",5,3
"17750",17750,36.53,0.32,"Jaune",5,3
"17815",17815,32.43,0.91,"Rouge",3,1
"17829",17829,25.78,0.7,"Rouge",3,1
"17958",17958,33.33,0.31,"Rouge",2,1
"18054",18054,29.86,0.34,"Bleu",2,3
"18094",18094,32.67,0.7,"Jaune",2,3
"18140",18140,63.96,1.01,"Bleu",5,1
"18163",18163,34.26,0.72,"Rouge",3,1
"18186",18186,23.63,0.54,"Rouge",2,2
"18194",18194,38.4,0.42,"Rouge",5,1
"18249",18249,44.43,0.94,"Bleu",4,3
"18302",18302,32.47,0.31,"Jaune",5,3
"18322",18322,45.01,1.24,"Bleu",3,2
"18335",18335,31.31,0.31,"Bleu",4,1
"18375",18375,25.24,0.37,"Rouge",4,2
"18434",18434,39.1,0.3,"Bleu",3,1
"18464",18464,54.94,0.85,"Jaune",5,1
"18558",18558,53.79,1.23,"Bleu",3,1
"18567",18567,36.96,0.37,"Rouge",5,2
"18606",18606,29.44,0.3,"Jaune",3,3
"18612",18612,65.03,1.52,"Bleu",3,1
"18631",18631,50.89,0.78,"Bleu",5,1
"18657",18657,28.99,0.38,"Rouge",4,3
"18669",18669,52.35,0.9,"Bleu",4,1
"18773",18773,90.02,2.14,"Bleu",4,3
"18776",18776,29.36,0.55,"Rouge",3,2
"18793",18793,18.91,0.3,"Bleu",2,2
"18814",18814,26.21,0.31,"Jaune",3,1
"18900",18900,72.82,1.51,"Rouge",5,1
"19190",19190,29.71,0.41,"Bleu",4,2
"19221",19221,27.05,0.26,"Rouge",3,2
"19227",19227,30.43,0.27,"Rouge",5,1
"19298",19298,33.55,0.33,"Rouge",4,3
"19302",19302,53.64,0.91,"Jaune",2,2
"19450",19450,41.78,0.7,"Bleu",4,1
"19451",19451,30.92,0.4,"Bleu",4,2
"19452",19452,39.46,0.72,"Bleu",4,3
"19472",19472,67.22,1.03,"Bleu",5,3
"19594",19594,63.9,1.01,"Bleu",4,2
"19604",19604,8.59,0.25,"Rouge",4,1
"19610",19610,54.5,0.71,"Bleu",5,2
"19659",19659,35.28,0.31,"Rouge",5,1
"19863",19863,55.06,1.02,"Rouge",4,3
"19880",19880,30.47,0.3,"Jaune",5,2
"19887",19887,17.76,0.41,"Bleu",2,1
"19919",19919,31.91,0.31,"Bleu",5,2
"19976",19976,33.68,0.61,"Bleu",5,1
"20073",20073,27.08,0.36,"Jaune",5,1
"20100",20100,27.18,0.3,"Rouge",5,2
"20196",20196,27.17,0.31,"Rouge",5,1
"20227",20227,34.38,0.61,"Jaune",5,1
"20320",20320,45.75,0.3,"Bleu",5,2
"20442",20442,7.84,0.32,"Rouge",3,3
"20482",20482,71.2,1.49,"Rouge",3,3
"20493",20493,58.69,1.11,"Rouge",4,2
"20719",20719,17.94,0.32,"Jaune",5,1
"20746",20746,30.65,0.33,"Bleu",5,3
"20869",20869,64.42,1.2,"Jaune",3,2
"20875",20875,35.06,0.61,"Bleu",4,2
"20942",20942,42.13,0.78,"Jaune",5,1
"21139",21139,54.71,1.19,"Bleu",2,3
"21259",21259,23.56,0.4,"Rouge",3,1
"21275",21275,37.44,0.3,"Jaune",5,3
"21344",21344,40.06,0.7,"Jaune",3,2
"21383",21383,44.03,0.5,"Jaune",5,1
"21586",21586,33.56,0.36,"Bleu",3,2
"21594",21594,88.41,2.09,"Jaune",4,1
"21823",21823,22.8,0.31,"Rouge",4,2
"21837",21837,33.96,0.72,"Rouge",3,2
"21863",21863,44.81,1,"Bleu",2,3
"21919",21919,79.62,1.54,"Rouge",5,2
"21926",21926,30.97,0.31,"Bleu",5,2
"22061",22061,33.23,0.36,"Rouge",4,3
"22134",22134,43.08,0.55,"Bleu",5,1
"22157",22157,67.33,1.53,"Rouge",3,1
"22188",22188,25.49,0.36,"Rouge",4,1
"22210",22210,85.83,2.01,"Jaune",3,1
"22319",22319,35.69,0.31,"Rouge",5,3
"22389",22389,24.53,0.29,"Jaune",5,1
"22571",22571,126.24,2.12,"Rouge",5,3
"22592",22592,40.38,0.54,"Rouge",5,3
"22603",22603,14.39,0.3,"Jaune",4,1
"22679",22679,36.62,0.7,"Rouge",3,2
"22687",22687,32.49,0.34,"Rouge",5,1
"22820",22820,32.97,0.41,"Rouge",5,1
"22989",22989,44.61,0.61,"Rouge",5,2
"23006",23006,34.99,0.59,"Rouge",5,1
"23186",23186,45.17,0.5,"Jaune",3,1
"23209",23209,50.07,0.71,"Rouge",5,1
"23314",23314,89.59,2.01,"Rouge",3,2
"23348",23348,52.23,1.23,"Bleu",3,1
"23512",23512,39.77,0.4,"Rouge",5,2
"23539",23539,34.88,0.31,"Jaune",5,2
"23692",23692,65.17,1.66,"Jaune",3,1
"23744",23744,43.36,0.43,"Bleu",5,3
"24001",24001,53.12,0.71,"Jaune",4,1
"24054",24054,52.71,0.55,"Bleu",5,2
"24126",24126,38.67,1.05,"Bleu",3,1
"24210",24210,51.57,0.94,"Rouge",3,1
"24225",24225,18.77,0.3,"Rouge",4,1
"24349",24349,25.25,0.3,"Rouge",5,1
"24510",24510,27.2,0.31,"Jaune",5,2
"24667",24667,16.77,0.23,"Rouge",3,1
"24710",24710,49.51,0.59,"Bleu",5,1
"24823",24823,96.29,2,"Jaune",4,3
"24826",24826,22.02,0.3,"Rouge",4,1
"24878",24878,53.47,1.14,"Rouge",2,2
"25013",25013,18.9,0.34,"Bleu",4,2
"25325",25325,44.13,1.04,"Rouge",3,1
"25433",25433,22.97,0.31,"Bleu",3,3
"25485",25485,19.96,0.3,"Rouge",4,3
"25522",25522,62.02,1.19,"Jaune",3,1
"25569",25569,21.58,0.23,"Rouge",3,1
"25578",25578,109.6,2.05,"Jaune",5,2
"25657",25657,19.14,0.3,"Bleu",4,3
"25688",25688,57.97,1.03,"Jaune",4,2
"25725",25725,38.82,0.41,"Bleu",5,1
"25811",25811,32.34,0.32,"Jaune",5,2
"25907",25907,19.8,0.31,"Rouge",3,1
"25969",25969,24.16,0.61,"Rouge",4,3
"26031",26031,67.86,1.2,"Bleu",4,1
"26054",26054,59.05,1.09,"Bleu",4,2
"26325",26325,88.23,1.57,"Rouge",5,1
"26391",26391,40.09,1.01,"Rouge",4,2
"26417",26417,50.9,0.91,"Jaune",4,1
"26423",26423,62.53,1.12,"Rouge",5,3
"26446",26446,61.53,1.13,"Bleu",5,2
"26467",26467,57.74,1.27,"Rouge",4,1
"26563",26563,86.59,2,"Bleu",4,2
"26570",26570,65.63,0.9,"Bleu",5,2
"26687",26687,28.28,0.36,"Bleu",4,1
"26710",26710,77.7,1.22,"Jaune",5,3
"26716",26716,33.43,0.3,"Rouge",5,2
"26755",26755,35.79,0.7,"Bleu",4,1
"26776",26776,78.11,1.03,"Rouge",5,2
"26845",26845,44.81,0.52,"Rouge",5,1
"26879",26879,20.23,0.31,"Jaune",4,1
"26999",26999,29.31,0.3,"Rouge",5,1
"27027",27027,41.57,0.76,"Rouge",4,3
"27035",27035,26.18,0.26,"Rouge",3,1
"27076",27076,27.92,0.54,"Jaune",4,1
"27130",27130,25.78,0.34,"Rouge",5,3
"27185",27185,63.96,1.14,"Bleu",4,2
"27231",27231,47.52,0.7,"Jaune",5,1
"27430",27430,66.07,1.49,"Jaune",1,1
"27451",27451,44.78,0.32,"Jaune",5,3
"27659",27659,51.35,0.71,"Jaune",5,2
"27765",27765,24.44,0.31,"Rouge",5,1
"27823",27823,19.95,0.36,"Bleu",3,2
"27827",27827,24.49,0.32,"Rouge",5,3
"27889",27889,69.34,1.52,"Rouge",2,3
"27943",27943,62.39,1.58,"Bleu",4,1
"28047",28047,67.49,0.91,"Rouge",5,2
"28091",28091,42.54,0.78,"Jaune",4,2
"28129",28129,29.5,0.37,"Rouge",5,2
"28156",28156,41.8,1.07,"Bleu",4,2
"28181",28181,29.64,0.33,"Bleu",5,1
"28346",28346,32.94,0.71,"Bleu",4,2
"28355",28355,31.41,0.27,"Bleu",5,2
"28366",28366,59.38,1,"Bleu",5,1
"28497",28497,63.85,1.46,"Bleu",4,1
"28532",28532,17.3,0.31,"Rouge",5,1
"28557",28557,59.13,1.13,"Rouge",3,2
"28569",28569,34.57,0.4,"Bleu",4,1
"28572",28572,49.08,0.74,"Jaune",5,1
"28660",28660,70.53,1.51,"Jaune",4,1
"28702",28702,53.42,0.71,"Bleu",5,2
"28825",28825,52.75,0.58,"Bleu",5,3
"28858",28858,54.88,1.01,"Jaune",4,1
"28860",28860,60.29,1.55,"Rouge",3,2
"28863",28863,27.71,0.52,"Rouge",2,2
"28891",28891,20.91,0.61,"Bleu",3,3
"28961",28961,62.01,1.1,"Rouge",4,1
"28993",28993,30.55,0.31,"Jaune",5,2
"29080",29080,54.27,0.95,"Jaune",3,1
"29102",29102,54.28,1.01,"Rouge",2,1
"29245",29245,19.49,0.31,"Rouge",3,1
"29288",29288,20.11,0.26,"Rouge",3,1
"29314",29314,59.35,1,"Jaune",4,1
"29332",29332,82.63,1.21,"Jaune",5,2
"29506",29506,83.48,1.51,"Bleu",5,3
"29514",29514,20.71,0.31,"Rouge",3,1
"29557",29557,39.54,0.32,"Bleu",4,1
"29649",29649,29.63,0.3,"Bleu",5,1
"29650",29650,20,0.39,"Rouge",3,2
"29776",29776,59.1,1.2,"Rouge",4,3
"29823",29823,79.43,1.31,"Bleu",5,2
"29874",29874,31.42,0.4,"Rouge",5,2
"29923",29923,34.4,1,"Rouge",2,1
"30055",30055,41.2,0.41,"Jaune",5,2
"30129",30129,31.02,0.53,"Rouge",4,1
"30163",30163,56.42,1.31,"Rouge",4,3
"30178",30178,36.11,0.31,"Jaune",4,3
"30295",30295,27.4,0.3,"Bleu",5,1
"30352",30352,43.48,1,"Rouge",2,2
"30369",30369,27.68,0.3,"Rouge",5,2
"30395",30395,71.56,1.29,"Jaune",3,2
"30514",30514,26.59,0.38,"Rouge",5,2
"30526",30526,36.27,0.52,"Bleu",5,1
"30591",30591,44.16,0.59,"Jaune",2,1
"30592",30592,15.12,0.3,"Bleu",5,2
"30610",30610,39.11,0.53,"Bleu",4,1
"30673",30673,58.29,1.51,"Bleu",2,1
"30731",30731,64.49,1.13,"Rouge",4,2
"30826",30826,31.14,0.34,"Rouge",4,1
"30920",30920,51.24,1.01,"Jaune",2,1
"30930",30930,34.81,0.91,"Jaune",2,3
"30994",30994,65.69,1.5,"Rouge",3,1
"31204",31204,22.98,0.31,"Rouge",3,3
"31207",31207,29.73,0.5,"Bleu",3,1
"31213",31213,66.46,1.09,"Jaune",5,1
"31214",31214,34.68,0.5,"Jaune",3,1
"31219",31219,23.85,0.42,"Rouge",4,1
"31221",31221,20.2,0.31,"Bleu",3,1
"31245",31245,25.34,0.33,"Bleu",4,1
"31346",31346,35.39,0.54,"Rouge",3,2
"31559",31559,43.16,0.7,"Bleu",5,2
"31571",31571,84.64,2.07,"Bleu",4,2
"31597",31597,43.7,1.02,"Rouge",3,2
"31652",31652,36.65,0.45,"Bleu",5,2
"31670",31670,29.39,0.31,"Jaune",2,1
"31885",31885,48.5,1.05,"Bleu",2,3
"32073",32073,85.85,1.2,"Jaune",5,3
"32084",32084,33.11,0.41,"Rouge",4,1
"32272",32272,39.11,0.3,"Bleu",5,3
"32311",32311,41.3,0.73,"Jaune",2,1
"32337",32337,19.29,0.3,"Rouge",5,3
"32372",32372,104.96,2.03,"Bleu",5,2
"32572",32572,96.66,2.02,"Rouge",4,1
"32653",32653,31.81,0.3,"Rouge",5,2
"32776",32776,35.27,0.48,"Jaune",5,3
"32930",32930,22.9,0.61,"Bleu",3,2
"33047",33047,50.9,1.02,"Jaune",2,1
"33111",33111,28.66,0.51,"Bleu",2,3
"33116",33116,22.23,0.31,"Bleu",5,2
"33235",33235,26.32,0.5,"Bleu",4,3
"33256",33256,41.18,0.38,"Jaune",4,1
"33258",33258,72.19,1.5,"Rouge",3,1
"33278",33278,71.72,1.54,"Jaune",3,2
"33360",33360,62.41,1.21,"Jaune",5,3
"33465",33465,78,2.01,"Bleu",2,2
"33635",33635,43.3,0.71,"Bleu",4,1
"33695",33695,33.72,0.35,"Bleu",5,2
"33735",33735,49.99,0.72,"Rouge",5,1
"33776",33776,21.13,0.27,"Bleu",5,1
"33777",33777,33.21,0.62,"Rouge",4,2
"33805",33805,31.74,0.58,"Jaune",3,2
"33900",33900,64,1.27,"Bleu",5,1
"34030",34030,40.87,0.76,"Rouge",3,1
"34075",34075,53.79,1.03,"Rouge",4,1
"34208",34208,38.37,1,"Jaune",2,2
"34265",34265,27.12,0.27,"Rouge",5,1
"34280",34280,52.27,0.7,"Bleu",5,1
"34314",34314,28.93,0.51,"Bleu",3,3
"34334",34334,70.64,1.52,"Bleu",4,1
"34386",34386,57.26,1.25,"Bleu",3,3
"34388",34388,33.59,0.73,"Rouge",5,3
"34519",34519,62.61,1,"Rouge",4,1
"34587",34587,74.05,2.1,"Jaune",3,3
"34644",34644,69.64,1.5,"Rouge",4,1
"34753",34753,38.09,0.72,"Bleu",4,2
"34898",34898,30.96,0.79,"Rouge",4,3
"34905",34905,44.09,0.8,"Bleu",4,1
"34951",34951,50.53,1.05,"Bleu",4,2
"34994",34994,25.09,0.35,"Jaune",4,2
"35095",35095,56.69,0.91,"Rouge",5,1
"35122",35122,61.05,1.06,"Rouge",5,3
"35179",35179,42.2,0.51,"Bleu",3,3
"35352",35352,80.84,1.31,"Rouge",5,1
"35468",35468,24.97,0.35,"Rouge",5,1
"35471",35471,46.89,1.07,"Bleu",4,1
"35592",35592,41.95,0.43,"Jaune",3,3
"35653",35653,66.43,1.09,"Jaune",5,2
"35728",35728,23.44,0.35,"Bleu",5,2
"35777",35777,44.55,0.5,"Rouge",5,2
"35867",35867,50.8,1.24,"Jaune",4,1
"36054",36054,30.01,0.41,"Rouge",4,2
"36163",36163,57.16,1.03,"Bleu",5,1
"36177",36177,80.72,1.51,"Bleu",5,1
"36195",36195,22.25,0.3,"Bleu",3,2
"36235",36235,54.71,1,"Bleu",3,1
"36314",36314,25.43,0.3,"Rouge",4,1
"36363",36363,60.6,1.14,"Rouge",4,2
"36371",36371,65.06,1.23,"Jaune",4,3
"36570",36570,47.2,0.59,"Bleu",5,1
"36578",36578,59.3,1.09,"Bleu",5,1
"36681",36681,47.28,0.31,"Bleu",5,1
"36695",36695,25.15,0.31,"Jaune",4,1
"36727",36727,70.97,1.56,"Bleu",4,1
"36837",36837,55.34,1.2,"Bleu",4,2
"36892",36892,69.72,1.05,"Rouge",5,1
"36909",36909,36.2,0.54,"Bleu",4,1
"36912",36912,34.37,0.38,"Bleu",5,2
"36988",36988,56.95,1,"Bleu",2,2
"37139",37139,96.08,1.61,"Rouge",5,2
"37140",37140,38.93,0.41,"Rouge",3,2
"37338",37338,47.64,1.05,"Bleu",3,1
"37372",37372,35.38,0.36,"Bleu",5,1
"37488",37488,83.39,1.23,"Jaune",5,1
"37510",37510,39.86,0.6,"Bleu",5,1
"37519",37519,35.55,0.5,"Jaune",1,2
"37522",37522,28.93,0.45,"Jaune",1,1
"37605",37605,30.59,0.3,"Bleu",4,3
"37669",37669,43.97,0.63,"Rouge",5,1
"37696",37696,75.06,1.5,"Rouge",2,2
"37702",37702,35.65,0.46,"Rouge",2,3
"37745",37745,71.49,1.21,"Bleu",5,3
"37761",37761,33.06,0.37,"Jaune",5,3
"37846",37846,53.66,0.7,"Jaune",3,2
"37919",37919,42.97,0.3,"Rouge",5,1
"38052",38052,27.03,0.27,"Rouge",5,1
"38080",38080,68.13,1.55,"Rouge",3,3
"38149",38149,57,1,"Rouge",4,3
"38157",38157,29.99,0.8,"Bleu",2,1
"38159",38159,34.77,0.38,"Jaune",4,3
"38227",38227,32.18,0.4,"Bleu",5,1
"38331",38331,42.24,0.54,"Rouge",5,1
"38363",38363,25.27,0.25,"Bleu",5,1
"38462",38462,63.25,1.05,"Bleu",5,1
"38496",38496,35.54,0.4,"Bleu",3,1
