"","Id","Poids","Couleur","Intensité","Régularité"
"304",304,0.3,"Jaune","3","2"
"305",305,1,"Jaune","4","2"
"306",306,0.35,"Jaune","4","1"
"307",307,1.01,"Jaune","2","2"
"308",308,1.5,"Jaune","2","3"
"309",309,0.5,"Jaune","1","2"
"310",310,0.32,"Jaune","5","3"
"311",311,1.1,"Bleu","3","2"
"312",312,0.38,"Bleu","2","3"
"313",313,1.09,"Jaune","5","1"
"314",314,0.4,"Bleu","5","2"
"315",315,1.08,"Jaune","4","2"
"316",316,0.32,"Jaune","5","2"
"317",317,0.9,"Rouge","4","3"
"318",318,0.5,"Bleu","4","1"
"319",319,0.98,"Bleu","1","3"
"320",320,0.9,"Rouge","2","3"
"321",321,1.24,"Rouge","5","1"
"322",322,1.59,"Jaune","4","1"
"323",323,0.84,"Bleu","4","3"
"324",324,1.02,"Bleu","5","1"
"325",325,1.33,"Jaune","3","2"
"326",326,1.65,"Rouge","4","2"
"327",327,0.93,"Rouge","4","3"
"328",328,0.3,"Jaune","3","2"
"329",329,0.81,"Rouge","3","1"
"330",330,0.34,"Jaune","5","1"
"331",331,0.71,"Rouge","2","1"
"332",332,1,"Rouge","2","1"
"333",333,0.71,"Rouge","5","1"
"334",334,0.6,"Bleu","4","3"
"335",335,0.71,"Rouge","5","1"
"336",336,0.54,"Bleu","3","3"
"337",337,0.72,"Rouge","5","2"
"338",338,0.34,"Jaune","5","3"
"339",339,1.22,"Rouge","3","1"
"340",340,0.71,"Rouge","5","3"
"341",341,0.37,"Rouge","2","1"
"342",342,0.71,"Rouge","2","2"
"343",343,0.34,"Jaune","5","2"
"344",344,1.3,"Rouge","4","2"
"345",345,1.36,"Rouge","3","3"
"346",346,1.09,"Jaune","4","2"
"347",347,1.19,"Rouge","4","1"
"348",348,0.23,"Bleu","3","3"
"349",349,0.93,"Bleu","5","1"
"350",350,0.4,"Bleu","5","2"
"351",351,0.31,"Jaune","3","3"
"352",352,0.31,"Rouge","2","1"
"353",353,0.3,"Rouge","5","1"
"354",354,1,"Rouge","4","1"
"355",355,1.23,"Jaune","5","2"
"356",356,0.24,"Rouge","2","3"
"357",357,0.51,"Rouge","4","3"
"358",358,0.35,"Rouge","5","2"
"359",359,0.61,"Jaune","4","1"
"360",360,1,"Rouge","4","1"
"361",361,0.71,"Rouge","2","1"
"362",362,0.3,"Jaune","5","1"
"363",363,0.34,"Rouge","4","3"
"364",364,0.61,"Rouge","3","2"
"365",365,0.3,"Bleu","5","2"
"366",366,1.13,"Bleu","5","2"
"367",367,0.53,"Jaune","5","1"
"368",368,0.27,"Bleu","3","3"
"369",369,1.02,"Bleu","3","1"
"370",370,0.35,"Rouge","1","2"
"371",371,1.05,"Bleu","3","3"
"372",372,0.41,"Jaune","5","2"
"373",373,0.4,"Jaune","5","3"
"374",374,0.43,"Bleu","5","2"
"375",375,0.7,"Jaune","2","3"
"376",376,0.51,"Rouge","5","1"
"377",377,0.55,"Rouge","4","1"
"378",378,1.25,"Rouge","5","1"
"379",379,1.53,"Rouge","3","3"
"380",380,0.9,"Bleu","5","1"
"381",381,0.41,"Jaune","5","2"
"382",382,1.05,"Bleu","5","3"
"383",383,0.57,"Rouge","5","1"
"384",384,0.63,"Bleu","3","1"
"385",385,1.25,"Bleu","5","1"
"386",386,0.31,"Rouge","2","2"
"387",387,1.01,"Bleu","3","3"
"388",388,0.24,"Bleu","3","1"
"389",389,1.25,"Jaune","5","1"
"390",390,1.04,"Rouge","5","1"
"391",391,0.9,"Bleu","4","3"
"392",392,0.42,"Rouge","5","2"
"393",393,0.32,"Bleu","5","3"
"394",394,0.23,"Rouge","3","1"
"395",395,0.7,"Jaune","3","2"
"396",396,1.22,"Bleu","3","2"
"397",397,0.31,"Jaune","5","3"
"398",398,1.67,"Jaune","5","2"
"399",399,0.4,"Jaune","2","1"
"400",400,2.06,"Bleu","4","3"
"401",401,0.31,"Rouge","4","2"
"402",402,1.02,"Rouge","5","1"
"403",403,2,"Bleu","4","2"
"404",404,0.62,"Bleu","5","1"
"405",405,0.54,"Rouge","5","1"
"406",406,1.14,"Rouge","5","3"
"407",407,0.9,"Jaune","5","1"
"408",408,0.31,"Rouge","4","2"
"409",409,0.3,"Bleu","5","3"
"410",410,1.01,"Bleu","3","2"
"411",411,0.31,"Bleu","5","1"
"412",412,0.51,"Bleu","4","2"
"413",413,0.5,"Bleu","3","1"
"414",414,0.32,"Rouge","5","1"
"415",415,0.72,"Rouge","5","1"
"416",416,0.91,"Bleu","4","1"
"417",417,1.11,"Jaune","2","1"
"418",418,0.3,"Bleu","5","3"
"419",419,1.12,"Jaune","4","2"
"420",420,1.72,"Rouge","4","1"
"421",421,0.36,"Jaune","3","1"
"422",422,0.4,"Jaune","3","2"
"423",423,1.5,"Rouge","5","2"
"424",424,0.72,"Jaune","3","2"
"425",425,0.31,"Rouge","5","2"
"426",426,2.01,"Rouge","1","1"
"427",427,0.54,"Rouge","5","2"
"428",428,0.53,"Rouge","5","1"
"429",429,0.51,"Rouge","5","3"
"430",430,0.31,"Bleu","3","1"
"431",431,0.3,"Jaune","4","1"
"432",432,0.76,"Bleu","5","2"
"433",433,1.1,"Jaune","5","1"
"434",434,1.5,"Bleu","4","1"
"435",435,0.32,"Rouge","5","1"
"436",436,1.06,"Jaune","4","1"
"437",437,0.56,"Jaune","5","2"
"438",438,0.28,"Bleu","2","1"
"439",439,0.55,"Bleu","4","3"
"440",440,0.36,"Bleu","5","3"
"441",441,0.76,"Jaune","5","2"
"442",442,1,"Rouge","2","3"
"443",443,1.51,"Jaune","4","1"
"444",444,0.32,"Rouge","3","2"
"445",445,0.5,"Rouge","3","1"
"446",446,0.32,"Rouge","5","2"
"447",447,0.6,"Bleu","5","2"
"448",448,0.33,"Rouge","5","2"
"449",449,1,"Jaune","4","1"
"450",450,1,"Rouge","3","1"
"451",451,0.51,"Bleu","3","3"
"452",452,1.47,"Bleu","3","2"
"453",453,0.5,"Jaune","5","3"
"454",454,2.01,"Rouge","4","1"
"455",455,0.7,"Jaune","4","1"
"456",456,0.41,"Rouge","2","1"
"457",457,1.5,"Jaune","5","3"
"458",458,0.39,"Bleu","5","2"
"459",459,0.91,"Rouge","4","2"
"460",460,0.43,"Bleu","5","1"
"461",461,0.32,"Jaune","5","3"
"462",462,1.59,"Rouge","5","1"
"463",463,0.55,"Jaune","5","1"
"464",464,0.55,"Rouge","4","3"
"465",465,0.9,"Bleu","5","3"
"466",466,0.54,"Bleu","5","1"
"467",467,1.04,"Jaune","3","1"
"468",468,0.43,"Bleu","3","1"
"469",469,1.59,"Bleu","3","1"
"470",470,0.9,"Jaune","4","1"
"471",471,0.53,"Jaune","5","1"
"472",472,0.55,"Jaune","5","2"
"473",473,1.11,"Bleu","3","3"
"474",474,0.51,"Bleu","2","1"
"475",475,1.01,"Bleu","3","1"
"476",476,0.71,"Rouge","1","3"
"477",477,1.07,"Jaune","5","1"
"478",478,0.39,"Bleu","4","1"
"479",479,0.31,"Jaune","5","2"
"480",480,0.71,"Bleu","3","3"
"481",481,1.01,"Jaune","3","1"
"482",482,0.55,"Rouge","5","1"
"483",483,0.3,"Bleu","5","2"
"484",484,0.7,"Jaune","5","1"
"485",485,0.32,"Bleu","3","2"
"486",486,1.07,"Jaune","5","1"
"487",487,0.38,"Bleu","5","2"
"488",488,0.38,"Jaune","5","3"
"489",489,0.52,"Jaune","5","2"
"490",490,0.4,"Jaune","5","2"
"491",491,1.17,"Bleu","5","1"
"492",492,0.71,"Rouge","4","1"
"493",493,1.5,"Rouge","4","1"
"494",494,0.41,"Rouge","4","1"
"495",495,1,"Rouge","4","2"
"496",496,0.62,"Bleu","4","1"
"497",497,0.4,"Rouge","2","3"
"498",498,1.2,"Rouge","3","1"
"499",499,0.3,"Jaune","3","1"
"500",500,1.01,"Rouge","3","3"
"501",501,0.75,"Bleu","4","3"
"502",502,0.3,"Jaune","3","1"
"503",503,1.01,"Jaune","3","3"
"504",504,0.33,"Rouge","4","1"
"505",505,2.01,"Jaune","4","1"
"506",506,0.31,"Rouge","5","1"
"507",507,1,"Bleu","2","2"
"508",508,0.3,"Rouge","5","1"
"509",509,0.35,"Rouge","5","1"
"510",510,0.38,"Rouge","4","3"
"511",511,0.38,"Bleu","4","3"
"512",512,1.04,"Bleu","5","3"
"513",513,1,"Bleu","5","2"
"514",514,0.49,"Bleu","4","2"
"515",515,0.34,"Rouge","5","2"
"516",516,0.51,"Jaune","2","2"
"517",517,1.01,"Bleu","2","2"
"518",518,0.57,"Jaune","4","1"
"519",519,1.02,"Jaune","2","1"
"520",520,1.08,"Bleu","5","1"
"521",521,0.9,"Jaune","3","1"
"522",522,1.03,"Bleu","1","1"
"523",523,1.02,"Bleu","5","1"
"524",524,0.55,"Rouge","3","1"
"525",525,0.3,"Jaune","2","2"
"526",526,0.51,"Jaune","5","1"
"527",527,1.05,"Rouge","5","1"
"528",528,0.41,"Jaune","5","1"
"529",529,0.7,"Rouge","5","2"
"530",530,1.5,"Rouge","4","1"
"531",531,0.39,"Jaune","2","3"
"532",532,0.3,"Rouge","5","1"
"533",533,0.32,"Rouge","5","1"
"534",534,0.72,"Jaune","5","1"
"535",535,0.31,"Jaune","5","1"
"536",536,0.52,"Bleu","2","3"
"537",537,0.31,"Jaune","3","1"
"538",538,0.36,"Bleu","5","1"
"539",539,0.36,"Bleu","5","3"
"540",540,1.5,"Bleu","3","1"
"541",541,0.32,"Bleu","4","2"
"542",542,0.3,"Jaune","4","2"
"543",543,1.13,"Rouge","5","1"
"544",544,0.4,"Rouge","3","2"
"545",545,0.57,"Bleu","5","3"
"546",546,1.22,"Bleu","4","1"
"547",547,0.31,"Rouge","5","1"
"548",548,0.71,"Rouge","5","2"
"549",549,0.3,"Jaune","5","2"
"550",550,0.4,"Jaune","4","2"
"551",551,1.74,"Bleu","4","1"
"552",552,1.26,"Rouge","3","2"
"553",553,0.41,"Bleu","5","2"
"554",554,0.39,"Bleu","5","1"
"555",555,0.33,"Bleu","4","1"
"556",556,0.7,"Jaune","5","1"
"557",557,0.26,"Jaune","5","2"
"558",558,0.55,"Jaune","4","1"
"559",559,1.59,"Bleu","3","2"
"560",560,1.21,"Jaune","4","1"
"561",561,0.9,"Jaune","1","1"
"562",562,0.51,"Bleu","2","1"
"563",563,1.5,"Jaune","3","2"
"564",564,1.11,"Bleu","2","2"
"565",565,0.34,"Rouge","5","2"
"566",566,0.71,"Jaune","5","3"
"567",567,0.33,"Jaune","3","1"
"568",568,1.01,"Rouge","3","2"
"569",569,0.74,"Bleu","1","1"
"570",570,0.52,"Bleu","3","2"
"571",571,2.29,"Rouge","4","1"
"572",572,0.42,"Bleu","5","2"
"573",573,0.8,"Bleu","5","1"
"574",574,1.08,"Jaune","3","2"
"575",575,1,"Rouge","3","3"
"576",576,0.32,"Bleu","5","2"
"577",577,0.71,"Bleu","5","2"
"578",578,0.31,"Rouge","5","2"
"579",579,0.9,"Bleu","4","3"
"580",580,0.7,"Bleu","3","2"
"581",581,1.02,"Bleu","4","1"
"582",582,1,"Jaune","4","1"
"583",583,0.53,"Rouge","5","2"
"584",584,0.4,"Jaune","5","2"
"585",585,0.5,"Bleu","3","3"
"586",586,1.02,"Bleu","3","2"
"587",587,1.3,"Jaune","5","1"
"588",588,1.56,"Rouge","4","2"
"589",589,0.37,"Rouge","4","1"
"590",590,1.02,"Rouge","5","1"
"591",591,1.18,"Jaune","5","2"
"592",592,1.09,"Rouge","4","1"
"593",593,0.7,"Jaune","2","1"
"594",594,1,"Rouge","1","1"
"595",595,0.37,"Bleu","4","2"
"596",596,0.73,"Jaune","3","2"
"597",597,1.09,"Bleu","3","2"
"598",598,1,"Bleu","3","2"
"599",599,0.42,"Rouge","3","2"
"600",600,0.79,"Bleu","3","2"
"601",601,0.9,"Jaune","5","1"
"602",602,1.5,"Jaune","3","1"
"603",603,0.73,"Rouge","5","2"
"604",604,0.34,"Bleu","4","1"
"605",605,0.36,"Bleu","3","3"
"606",606,0.41,"Bleu","4","3"
"607",607,0.31,"Bleu","5","1"
"608",608,0.31,"Bleu","4","1"
"609",609,0.41,"Jaune","5","3"
"610",610,1.28,"Jaune","4","1"
"611",611,0.62,"Rouge","2","1"
"612",612,1,"Rouge","4","1"
"613",613,0.5,"Jaune","4","1"
"614",614,0.52,"Rouge","5","3"
"615",615,0.33,"Bleu","4","1"
"616",616,0.41,"Rouge","3","1"
"617",617,1.01,"Bleu","4","2"
"618",618,0.51,"Rouge","3","1"
"619",619,1.19,"Rouge","3","1"
"620",620,0.74,"Bleu","5","2"
"621",621,1.57,"Rouge","5","3"
"622",622,0.4,"Jaune","4","1"
"623",623,0.54,"Jaune","4","3"
"624",624,0.36,"Rouge","2","2"
"625",625,0.9,"Bleu","5","3"
"626",626,0.34,"Rouge","5","3"
"627",627,1.53,"Rouge","5","3"
"628",628,1.5,"Jaune","3","1"
"629",629,1.03,"Jaune","3","1"
"630",630,0.55,"Jaune","5","2"
"631",631,0.42,"Bleu","3","3"
"632",632,1.83,"Jaune","3","2"
"633",633,0.33,"Bleu","5","2"
"634",634,0.7,"Rouge","3","3"
"635",635,0.3,"Rouge","4","2"
"636",636,1.01,"Jaune","3","3"
"637",637,0.9,"Jaune","4","2"
"638",638,1.51,"Bleu","3","1"
"639",639,1.03,"Jaune","4","1"
"640",640,0.54,"Bleu","5","1"
"641",641,0.65,"Bleu","4","1"
"642",642,0.9,"Bleu","5","3"
"643",643,1.1,"Rouge","5","3"
"644",644,2.01,"Bleu","1","1"
"645",645,0.7,"Jaune","3","2"
"646",646,2.04,"Jaune","2","2"
"647",647,2.04,"Jaune","4","2"
"648",648,0.72,"Rouge","5","1"
"649",649,1.33,"Rouge","4","1"
"650",650,0.31,"Bleu","5","2"
"651",651,0.7,"Rouge","5","2"
"652",652,0.7,"Jaune","5","2"
"653",653,1.01,"Rouge","4","3"
"654",654,0.71,"Jaune","3","3"
"655",655,0.44,"Bleu","2","1"
"656",656,1.71,"Rouge","3","1"
"657",657,0.59,"Bleu","4","1"
"658",658,0.3,"Rouge","5","1"
"659",659,1.2,"Bleu","4","3"
"660",660,0.3,"Bleu","4","1"
"661",661,0.82,"Rouge","4","1"
"662",662,0.52,"Rouge","5","1"
"663",663,2.01,"Bleu","3","1"
"664",664,0.3,"Bleu","5","2"
"665",665,0.51,"Rouge","5","3"
"666",666,0.3,"Bleu","5","2"
"667",667,1.51,"Rouge","1","3"
"668",668,0.78,"Jaune","5","3"
"669",669,0.26,"Jaune","2","1"
"670",670,0.31,"Bleu","5","1"
"671",671,0.9,"Rouge","5","1"
"672",672,1.5,"Bleu","1","2"
"673",673,0.53,"Bleu","5","3"
"674",674,0.3,"Rouge","4","1"
"675",675,1.7,"Jaune","3","2"
"676",676,1.07,"Jaune","5","1"
"677",677,1.68,"Jaune","4","1"
"678",678,0.33,"Jaune","5","1"
"679",679,1.14,"Jaune","5","3"
"680",680,0.71,"Bleu","4","1"
"681",681,2.05,"Bleu","3","2"
"682",682,0.31,"Jaune","5","1"
"683",683,2.02,"Bleu","3","1"
"684",684,1,"Bleu","3","2"
"685",685,1.52,"Bleu","3","1"
"686",686,0.8,"Bleu","3","1"
"687",687,1.53,"Bleu","3","3"
"688",688,1.01,"Bleu","1","2"
"689",689,0.35,"Rouge","5","3"
"690",690,1.25,"Jaune","5","1"
"691",691,1.23,"Rouge","5","2"
"692",692,2.01,"Jaune","3","3"
"693",693,0.73,"Rouge","5","3"
"694",694,0.3,"Rouge","5","2"
"695",695,1.03,"Bleu","2","1"
"696",696,1.02,"Bleu","5","3"
"697",697,0.53,"Jaune","5","2"
"698",698,0.3,"Jaune","4","2"
"699",699,1.02,"Bleu","4","3"
"700",700,0.9,"Rouge","3","1"
