"","Id","Prix","Poids","Couleur","Intensité","Régularité"
"114754",114754,32.68,0.56,"Bleu",5,3
"114762",114762,65.51,1.52,"Jaune",3,1
"114914",114914,76.12,1.02,"Rouge",5,2
"115363",115363,27.99,0.32,"Jaune",5,1
"115908",115908,44.5,0.41,"Jaune",5,2
"116257",116257,92.92,1.57,"Jaune",5,1
"116306",116306,83.37,2.14,"Rouge",4,2
"116472",116472,44.28,0.9,"Jaune",1,3
"116487",116487,63.09,1.23,"Rouge",4,1
"116627",116627,27.96,0.37,"Bleu",4,2
"116635",116635,61.46,0.74,"Jaune",5,1
"116894",116894,21.1,0.41,"Rouge",5,1
"116963",116963,76.32,1.21,"Rouge",5,1
"116974",116974,23.88,0.31,"Rouge",4,1
"117377",117377,41.9,0.59,"Jaune",5,2
"117758",117758,56.28,0.76,"Jaune",5,3
"117779",117779,33.47,0.51,"Jaune",3,2
"117791",117791,31.13,0.3,"Rouge",1,1
"118133",118133,34.84,0.32,"Bleu",2,3
"118368",118368,58.3,1.96,"Rouge",1,1
"118601",118601,36.69,0.38,"Bleu",4,1
"118905",118905,45.66,0.7,"Rouge",3,1
"118914",118914,32.63,0.5,"Bleu",4,2
"119237",119237,84.36,2.03,"Bleu",4,3
"119768",119768,29.24,0.33,"Rouge",4,2
"119851",119851,28.09,0.52,"Jaune",3,2
"119881",119881,33.72,0.38,"Bleu",3,2
"119922",119922,51.3,1.11,"Jaune",4,2
"120884",120884,118.35,2.03,"Rouge",5,3
