;Id;Poids;Couleur;Régularité;Intensité;ID_unit;Prob;Stratum
61603;61603;1,01;Bleu;2;3;61408;0,012889996;3
61652;61652;1,07;Rouge;2;3;61457;0,012889996;3
61809;61809;1,02;Jaune;2;3;61612;0,012889996;3
61885;61885;0,51;Rouge;1;3;61688;0,012889996;3
62125;62125;0,9;Bleu;3;3;61928;0,012889996;3
62535;62535;1,28;Rouge;3;3;62336;0,012889996;3
62586;62586;1;Jaune;2;3;62386;0,012889996;3
62666;62666;1,52;Jaune;3;3;62466;0,012889996;3
62999;62999;1,01;Rouge;2;3;62798;0,012889996;3
63118;63118;0,6;Bleu;1;3;62917;0,012889996;3
63265;63265;0,61;Rouge;1;3;63064;0,012889996;3
63270;63270;0,91;Bleu;2;3;63069;0,012889996;3
63566;63566;1,52;Bleu;1;3;63364;0,012889996;3
63843;63843;0,31;Bleu;3;3;63640;0,012889996;3
64098;64098;0,53;Bleu;2;3;63894;0,012889996;3
64155;64155;1,01;Jaune;2;3;63951;0,012889996;3
64917;64917;1,01;Bleu;3;3;64711;0,012889996;3
65353;65353;0,58;Bleu;3;3;65144;0,012889996;3
65607;65607;0,51;Bleu;2;3;65396;0,012889996;3
66443;66443;0,51;Rouge;1;3;66232;0,012889996;3
66509;66509;1,29;Rouge;3;3;66298;0,012889996;3
66513;66513;0,53;Jaune;3;3;66302;0,012889996;3
66640;66640;0,4;Jaune;2;3;66428;0,012889996;3
66746;66746;0,51;Bleu;2;3;66533;0,012889996;3
67497;67497;0,5;Bleu;1;3;67281;0,012889996;3
67767;67767;0,33;Bleu;1;3;67551;0,012889996;3
67890;67890;0,74;Jaune;1;3;67674;0,012889996;3
68289;68289;0,32;Jaune;3;3;68072;0,012889996;3
68394;68394;1;Bleu;2;3;68176;0,012889996;3
68633;68633;0,43;Bleu;1;3;68415;0,012889996;3
69249;69249;0,32;Rouge;1;3;69028;0,012889996;3
71521;71521;0,27;Rouge;1;3;71289;0,012889996;3
71569;71569;1,23;Bleu;1;3;71336;0,012889996;3
71836;71836;1,61;Jaune;3;3;71602;0,012889996;3
71970;71970;0,36;Rouge;1;3;71736;0,012889996;3
72803;72803;1,36;Bleu;1;3;72567;0,012889996;3
72869;72869;0,43;Jaune;1;3;72633;0,012889996;3
73060;73060;1,34;Rouge;3;3;72823;0,012889996;3
74141;74141;1;Jaune;3;3;73900;0,012889996;3
74157;74157;0,33;Rouge;1;3;73916;0,012889996;3
74194;74194;1,28;Bleu;3;3;73953;0,012889996;3
74463;74463;2,24;Bleu;3;3;74220;0,012889996;3
74607;74607;2,09;Jaune;1;3;74362;0,012889996;3
74857;74857;0,3;Bleu;1;3;74609;0,012889996;3
76238;76238;0,34;Rouge;1;3;75986;0,012889996;3
76364;76364;0,56;Bleu;2;3;76112;0,012889996;3
77540;77540;0,61;Rouge;1;3;77284;0,012889996;3
77787;77787;0,37;Rouge;3;3;77531;0,012889996;3
77822;77822;0,72;Bleu;3;3;77566;0,012889996;3
78208;78208;0,43;Bleu;2;3;77949;0,012889996;3
78848;78848;0,3;Rouge;2;3;78585;0,012889996;3
79466;79466;1,08;Jaune;1;3;79200;0,012889996;3
79504;79504;0,32;Bleu;2;3;79238;0,012889996;3
79802;79802;0,6;Bleu;3;3;79535;0,012889996;3
80372;80372;0,53;Jaune;3;3;80104;0,012889996;3
80692;80692;1,13;Jaune;3;3;80424;0,012889996;3
81661;81661;1;Rouge;3;3;81391;0,012889996;3
81884;81884;0,26;Jaune;3;3;81614;0,012889996;3
82029;82029;0,35;Jaune;1;3;81759;0,012889996;3
82030;82030;1,11;Bleu;1;3;81760;0,012889996;3
82534;82534;0,75;Jaune;1;3;82264;0,012889996;3
82853;82853;0,59;Rouge;1;3;82583;0,012889996;3
82940;82940;0,31;Bleu;3;3;82670;0,012889996;3
83232;83232;0,3;Bleu;3;3;82958;0,012889996;3
83762;83762;0,9;Rouge;1;3;83483;0,012889996;3
83956;83956;0,34;Bleu;2;3;83677;0,012889996;3
84774;84774;1,23;Jaune;3;3;84493;0,012889996;3
84841;84841;0,7;Jaune;1;3;84560;0,012889996;3
85571;85571;1,08;Jaune;1;3;85288;0,012889996;3
85592;85592;0,4;Rouge;1;3;85309;0,012889996;3
85943;85943;0,55;Rouge;2;3;85658;0,012889996;3
85949;85949;0,45;Bleu;3;3;85664;0,012889996;3
86310;86310;1;Bleu;2;3;86025;0,012889996;3
86336;86336;0,23;Rouge;2;3;86051;0,012889996;3
87022;87022;0,7;Bleu;2;3;86733;0,012889996;3
87046;87046;1,5;Rouge;2;3;86757;0,012889996;3
87417;87417;0,3;Rouge;2;3;87128;0,012889996;3
88795;88795;1,11;Rouge;2;3;88505;0,012889996;3
89758;89758;1;Rouge;1;3;89466;0,012889996;3
89843;89843;1,11;Rouge;3;3;89550;0,012889996;3
90731;90731;0,32;Bleu;3;3;90431;0,012889996;3
91979;91979;0,41;Jaune;2;3;91678;0,012889996;3
92058;92058;2,01;Rouge;3;3;91757;0,012889996;3
92471;92471;0,7;Jaune;1;3;92168;0,012889996;3
92616;92616;0,34;Rouge;1;3;92312;0,012889996;3
93838;93838;0,71;Rouge;1;3;93532;0,012889996;3
93988;93988;1,01;Rouge;1;3;93681;0,012889996;3
94038;94038;0,36;Bleu;3;3;93731;0,012889996;3
94901;94901;0,53;Jaune;3;3;94592;0,012889996;3
94930;94930;0,78;Rouge;1;3;94621;0,012889996;3
95628;95628;0,47;Jaune;1;3;95316;0,012889996;3
95633;95633;0,51;Rouge;1;3;95321;0,012889996;3
96117;96117;0,52;Bleu;1;3;95803;0,012889996;3
96220;96220;0,7;Bleu;1;3;95906;0,012889996;3
96424;96424;0,48;Bleu;3;3;96109;0,012889996;3
96624;96624;0,53;Jaune;1;3;96309;0,012889996;3
96637;96637;0,52;Bleu;3;3;96322;0,012889996;3
96946;96946;2,51;Bleu;1;3;96630;0,012889996;3
97245;97245;0,9;Rouge;2;3;96929;0,012889996;3
97529;97529;0,89;Rouge;1;3;97212;0,012889996;3
99267;99267;1,02;Bleu;1;3;98948;0,012889996;3
99619;99619;1,37;Bleu;1;3;99298;0,012889996;3
99621;99621;0,9;Jaune;1;3;99300;0,012889996;3
99697;99697;0,72;Jaune;2;3;99376;0,012889996;3
99730;99730;0,32;Bleu;1;3;99409;0,012889996;3
99846;99846;0,51;Bleu;1;3;99524;0,012889996;3
100285;100285;0,39;Bleu;1;3;99963;0,012889996;3
100783;100783;0,3;Jaune;3;3;100459;0,012889996;3
100907;100907;0,58;Jaune;3;3;100582;0,012889996;3
101161;101161;1;Rouge;1;3;100835;0,012889996;3
101235;101235;0,56;Jaune;2;3;100909;0,012889996;3
101352;101352;1,02;Bleu;2;3;101026;0,012889996;3
101799;101799;0,32;Rouge;3;3;101472;0,012889996;3
102037;102037;2;Jaune;2;3;101709;0,012889996;3
103662;103662;1,05;Bleu;2;3;103329;0,012889996;3
103724;103724;0,72;Rouge;2;3;103391;0,012889996;3
103796;103796;1,19;Jaune;1;3;103463;0,012889996;3
104005;104005;0,59;Bleu;1;3;103672;0,012889996;3
104324;104324;2,01;Bleu;1;3;103990;0,012889996;3
104988;104988;0,3;Bleu;1;3;104653;0,012889996;3
105210;105210;0,3;Bleu;2;3;104873;0,012889996;3
105348;105348;0,36;Jaune;1;3;105010;0,012889996;3
106373;106373;2;Bleu;2;3;106030;0,012889996;3
106393;106393;1,22;Rouge;1;3;106050;0,012889996;3
